Filename,Subject,Stimuli,Fpower,ScrMaxDeriv,ScrAvgDeriv,ScrAvg,ScrDRange,ScrStDev,SclMaxDeriv,SclAvgDeriv,DriverMax,DriverNum
elena_scare.xlsx,Elena,None,0.0443758980215166,0.356526264189141,0.0248201178124967,0.152771252023859,0.361032523231622,0.110500149703708,0.0205145231067139,-0.0243726063548147,6.01850373652722,26
elena_scare.xlsx,Elena,None,0.0101781991531297,0.356526264189141,0.00519278114706892,0.232192694845554,0.306321173577912,0.0987977320575511,0.0276882650067733,0.0151731579710793,6.01850373652722,25
elena_scare.xlsx,Elena,None,0.0449637371601018,0.224609145040983,-0.0190237619128299,0.204719863127157,0.288661784639891,0.085844259947583,0.0276882650067733,0.0218198778888047,1.76309339774048,14
elena_scare.xlsx,Elena,None,0.00195123849134363,0.224609145040983,-1.02025756141377e-05,0.129386245321415,0.227352739664827,0.069281290922924,0.0264286780020928,0.00645504461404296,1.76309339774048,18
elena_scare.xlsx,Elena,None,0.0111803511811514,0.323221744117591,0.0182516018981738,0.15046243327372,0.267288325153481,0.0836164666856011,0.0364654748579696,0.00322352953759562,2.94833389716614,29
elena_scare.xlsx,Elena,None,0.0355027499225369,0.384678278066494,-0.000734134668166421,0.274853421402187,0.37640671225253,0.114998144740675,0.0580518951783304,0.0319468698305161,2.94833389716614,23
elena_scare.xlsx,Elena,None,0.190570190650762,0.561736629164928,0.00109882187672476,0.35601869441889,0.426202228322349,0.127499573039086,0.0580518951783304,0.0294089311474243,5.81626622833015,27
elena_scare.xlsx,Elena,None,0.0763030622423815,0.561736629164928,0.0386637705262011,0.374829305970211,0.426202228322349,0.105957357127797,0.0482656791074731,-0.0432118019054748,5.81626622833015,54
elena_scare.xlsx,Elena,None,0.146122415931542,0.401299390961554,0.100483018474211,0.66607637423192,1.01419750747036,0.3583947007325,0.157889583757509,-0.0385525369620836,3.45015844449392,74
elena_scare.xlsx,Elena,None,0.332995933936866,0.653380062944606,0.132347936692913,1.36230554340196,1.32704097965228,0.407771080633164,0.409622658708741,0.308304182986186,7.31860103350471,68
elena_scare.xlsx,Elena,Scare,0.00619590623548,0.814254114083721,-0.00605567227584658,1.79852750224331,1.00189782637464,0.226843587185016,0.331452107683656,0.128822316510214,14.3931591062593,54
